国立市,-0.0499,0.2486,-0.1704,0.0928,-0.0260,-0.0127,0.0765,-0.2520,0.0869,0.1220,0.0402,-0.5292,0.1847,0.1389,0.2104,0.0733,0.2883,-0.3449,0.0940,-0.6726,0.0108,-0.1045,0.1642,0.0641,-0.2160,0.4275,0.1635,0.1342,-0.1524,0.0000,0.0000,-0.6515,-0.7275,0.0000
墨田区,0.0035,-0.0972,0.1045,0.1242,-0.1645,-0.0344,-0.0441,0.3176,0.0658,-0.1011,-0.0063,0.4516,-0.0666,-0.1124,-0.0773,0.0733,0.2883,0.1659,-0.1937,0.0205,0.0108,-0.1045,0.1642,0.0641,-0.9091,-0.2657,0.1635,-0.9644,-0.1524,0.0000,0.0000,0.0000,-0.7275,0.0000
多摩市,0.1508,0.2060,-0.1146,-0.2813,-0.0457,-0.0344,0.0388,-0.0644,0.1304,0.0497,-0.0063,-0.2415,0.0511,0.1389,0.2104,0.3610,0.0006,0.5714,0.0940,0.4260,0.4162,0.9941,0.1642,-0.3414,-0.2160,0.4275,0.1635,-0.5590,-0.1524,-0.5708,0.0000,-0.6515,0.0000,0.0000
大島町,-0.0755,-0.1995,-0.1934,0.1677,-0.7290,0.3085,1.1374,0.6130,0.6048,0.1220,0.1943,-0.3957,0.3388,0.6986,0.9036,0.0733,0.2883,0.1659,0.4995,-0.6726,0.0108,0.3009,0.8574,0.7573,0.4772,-0.2657,-0.5297,0.0000,-0.1524,-1.2640,0.0000,-0.6515,-0.7275,-1.1916
大田区,0.1273,-0.1125,0.0645,-0.0239,-0.1294,0.0673,-0.1415,0.1085,0.0658,0.1473,-0.0063,0.2975,-0.1720,0.0054,0.0563,0.0733,0.0006,-0.6814,0.0940,0.0205,0.0108,-0.1045,0.1642,0.0641,0.4772,0.4275,0.1635,0.1342,-0.1524,0.0000,-1.3185,0.0000,0.0000,0.0000
奥多摩町,-0.4156,-0.2601,0.2586,0.1136,-0.1816,-0.0236,0.9069,0.4678,0.6790,-0.6318,1.2930,0.2975,0.5212,0.4754,0.9036,0.0000,0.0006,0.1659,0.4995,0.0205,0.0108,0.0000,0.8574,0.0641,-0.6214,0.0000,0.1635,0.0000,0.0000,-1.2640,0.0000,-1.7502,0.0000,0.0000
小平市,0.1668,-0.1275,0.0547,-0.0687,-0.1205,0.0793,0.0388,-0.3639,0.1994,0.2845,0.0890,-0.2415,0.1847,0.0054,0.0563,0.0733,0.0006,0.5714,0.0940,0.4260,0.4162,0.3009,0.1642,-0.3414,-0.2160,0.4275,-0.5297,0.1342,-0.1524,-0.5708,0.0000,0.0000,-0.7275,0.0000
小笠原村,0.1196,0.3636,0.2706,0.5243,-0.3382,-0.5323,0.4630,0.3411,-0.4197,0.0267,-0.5262,-0.0592,-0.8651,-0.8596,0.3927,-0.4863,0.2883,-0.3449,0.0940,1.1191,-0.5001,-0.1045,0.0000,-0.6290,0.4772,-0.6711,0.1635,0.1342,-0.8456,-1.2640,0.0000,0.0000,-1.8261,-1.1916
小金井市,0.0035,0.3759,-0.1146,-0.0599,-0.2067,0.0322,0.1706,-0.3401,0.0250,0.1473,0.0890,-0.1545,0.1847,-0.1124,0.0563,-0.1498,0.0006,0.5714,0.0940,0.0205,0.4162,-0.1045,0.1642,0.0641,0.4772,0.4275,0.1635,-0.5590,-0.1524,-0.5708,0.0000,0.0000,-0.7275,0.0000
府中市,-0.0368,0.0975,0.1568,-0.1923,0.0041,-0.0344,0.0512,-0.0956,0.0658,0.0732,0.0402,-0.1545,-0.1720,0.0054,0.0563,-0.1498,0.0006,0.5714,0.0940,0.0205,0.0108,-0.1045,-0.2413,0.0641,0.4772,0.4275,0.1635,0.1342,-0.1524,-0.5708,-0.6254,-0.6515,-0.7275,0.0000
御蔵島村,-0.2599,0.8191,0.1677,-0.0775,-0.3807,-0.5832,0.4820,0.9433,-0.2061,-0.2322,1.2930,0.0000,0.3388,-0.3130,-0.8310,-0.3322,0.0000,-0.5272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
文京区,-0.1604,0.6432,-0.1781,0.1031,0.1824,0.1941,-0.2015,-0.4645,-0.0883,0.0042,0.1943,0.0462,0.1847,-0.1124,0.0563,-0.1498,0.0006,0.5714,-0.1937,0.4260,0.0108,-0.1045,0.1642,-0.3414,-0.2160,0.4275,0.1635,0.1342,-0.1524,-0.5708,0.0000,-0.6515,0.0000,-1.1916
新宿区,0.1273,0.0608,-0.0812,0.1566,-0.1023,0.0438,-0.0885,0.0183,-0.2061,-0.0603,-0.0933,-0.0592,-0.0666,0.0054,-0.0773,0.0733,0.0006,0.5714,-0.1937,0.4260,0.0108,-0.1045,0.1642,-0.6290,0.4772,-0.2657,0.1635,0.1342,-0.1524,-0.5708,0.0000,-0.6515,0.0000,0.0000
新島村,-0.5964,0.3883,0.2950,-0.0421,-0.6890,0.0322,1.2978,0.9433,0.4405,-0.0809,0.3767,0.4516,1.0320,0.9862,0.9036,0.3610,0.6937,0.5714,0.0000,0.0205,-0.2769,0.3009,0.0000,0.0641,0.4772,0.4275,-0.5297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
日の出町,-0.1309,-0.3476,0.2468,-0.0775,-0.3454,0.1674,0.5212,0.1085,0.5031,0.0732,0.1403,-0.2415,0.3388,0.4754,0.2104,0.3610,0.0006,-0.3449,0.4995,0.4260,1.1094,0.9941,0.1642,0.0641,0.4772,0.4275,0.1635,0.1342,0.0000,0.0000,0.0000,0.0000,-0.7275,0.0000
日野市,-0.0302,0.1356,-0.1389,0.0231,0.0247,0.0322,0.0265,-0.0956,0.2482,-0.0809,0.0402,-0.1545,-0.3543,0.0054,0.0563,0.0733,0.0006,-0.6814,0.0940,0.4260,0.0108,-0.1045,0.1642,0.0641,-0.2160,0.4275,0.1635,-0.5590,-0.1524,-0.5708,0.0000,-0.6515,-0.7275,0.0000
昭島市,-0.0818,-0.2064,0.1356,-0.1608,-0.0744,0.0095,0.2901,0.2501,0.3817,-0.0603,-0.0063,-0.2415,0.1847,0.2931,0.0563,0.3610,0.0006,0.1659,0.0940,0.4260,0.0108,-0.1045,0.1642,0.0641,0.4772,-0.6711,0.1635,0.1342,-0.1524,-0.5708,0.0000,0.0000,0.0000,0.0000
